CCAA,Total_Ingresados,PercCamasCovid,UCI,PerCamasUCI,Ingresos24h,Altas24h,fecha
Comunidad Foral de Navarra,312,1464,44,3385,59,42,2020-10-22
Comunidad Valenciana,837,738,125,1238,149,73,2020-10-22
España,14160,118,1966,2185,1907,1479,2020-10-22
Extremadura,226,719,31,139,29,20,2020-10-22
Galicia,408,494,53,742,50,32,2020-10-22
Islas Baleares,171,557,40,1404,18,23,2020-10-22
Islas Canarias,255,52,49,1175,20,13,2020-10-22
La Rioja,133,1547,22,3667,19,14,2020-10-22
Melilla,39,2203,7,5833,5,13,2020-10-22
País Vasco,582,1218,66,2129,88,84,2020-10-22
Principado de Asturias,332,1024,39,15,41,29,2020-10-22
Región de Murcia,386,1079,61,1529,69,56,2020-10-22
Andalucía,1967,1195,251,163,320,198,2020-10-23
Aragón,635,1531,83,4256,94,73,2020-10-23
Cantabria,63,404,12,1034,11,3,2020-10-23
Castilla y León,1360,2057,161,3523,201,122,2020-10-23
Castilla-La Mancha,735,1537,86,2251,78,65,2020-10-23
Cataluña,2782,1117,384,3109,375,303,2020-10-23
Ceuta,30,1604,8,4706,4,2,2020-10-23
Comunidad de Madrid,3133,1959,494,3896,345,300,2020-10-23
Comunidad Foral de Navarra,366,1706,43,3233,69,31,2020-10-23
Comunidad Valenciana,862,762,131,1297,134,79,2020-10-23
España,14539,1211,2031,2248,2024,1472,2020-10-23
Extremadura,184,609,27,1244,33,12,2020-10-23
Galicia,390,473,50,7,71,40,2020-10-23
Islas Baleares,174,568,41,1439,21,12,2020-10-23
Islas Canarias,349,707,47,1116,22,21,2020-10-23
La Rioja,138,1605,22,3667,19,13,2020-10-23
Melilla,42,2373,8,6667,10,8,2020-10-23
País Vasco,566,1187,69,2255,94,112,2020-10-23
Principado de Asturias,354,1093,40,1538,50,29,2020-10-23
Región de Murcia,409,1142,74,1827,73,49,2020-10-23
Andalucía,2240,1383,282,1861,273,138,2020-10-26
Aragón,739,179,83,4171,79,20,2020-10-26
Cantabria,83,535,14,1217,9,0,2020-10-26
Castilla y León,1465,2191,178,3771,136,46,2020-10-26
Castilla-La Mancha,796,1664,90,2308,85,47,2020-10-26
Cataluña,3322,1377,432,3412,327,170,2020-10-26
Ceuta,34,1848,8,4706,5,3,2020-10-26
Comunidad de Madrid,3176,1997,510,4028,188,129,2020-10-26
Comunidad Foral de Navarra,400,1879,50,3759,41,21,2020-10-26
Comunidad Valenciana,1075,942,144,1399,151,37,2020-10-26
España,16008,1372,2163,2424,1584,734,2020-10-26
Extremadura,306,98,42,1883,24,5,2020-10-26
Galicia,450,547,60,84,64,28,2020-10-26
Islas Baleares,187,616,47,1649,14,8,2020-10-26
Islas Canarias,258,527,48,1151,5,1,2020-10-26
La Rioja,141,164,22,3667,13,5,2020-10-26
Melilla,52,2905,9,6429,7,2,2020-10-26
País Vasco,332,1356,18,1241,30,24,2020-10-26
Principado de Asturias,476,1467,50,1923,47,17,2020-10-26
Región de Murcia,476,1329,76,1877,86,33,2020-10-26
Andalucía,2277,1471,291,2024,370,293,2020-10-27
Aragón,775,1869,88,4211,103,50,2020-10-27
Cantabria,88,566,15,1304,22,10,2020-10-27
Castilla y León,1487,2219,170,3656,165,139,2020-10-27
Castilla-La Mancha,783,1637,93,2397,87,99,2020-10-27
Cataluña,3584,1421,460,3608,444,352,2020-10-27
Ceuta,34,1828,7,4118,3,2,2020-10-27
Comunidad de Madrid,3118,1948,507,4005,285,397,2020-10-27
Comunidad Foral de Navarra,393,183,49,3684,43,49,2020-10-27
Comunidad Valenciana,1098,962,165,1596,179,120,2020-10-27
España,16696,1393,2292,2504,2101,1863,2020-10-27
Extremadura,303,964,40,1794,27,24,2020-10-27
Galicia,478,579,71,992,66,48,2020-10-27
Islas Baleares,182,6,49,1731,24,26,2020-10-27
Islas Canarias,245,5,48,1151,12,13,2020-10-27
La Rioja,149,1733,22,3667,21,17,2020-10-27
Melilla,54,3017,9,6429,5,3,2020-10-27
País Vasco,685,139,72,2286,95,102,2020-10-27
Principado de Asturias,479,1473,52,20,63,37,2020-10-27
Región de Murcia,484,1307,84,1597,87,82,2020-10-27
Andalucía,2425,1446,313,1999,340,315,2020-10-28
Aragón,826,1978,92,4402,119,89,2020-10-28
Cantabria,102,651,16,1368,27,6,2020-10-28
Castilla y León,1465,218,171,3592,175,154,2020-10-28
Castilla-La Mancha,817,1707,97,2494,113,82,2020-10-28
Cataluña,3700,1467,482,3757,493,378,2020-10-28
Ceuta,39,2097,7,4118,4,2,2020-10-28
Comunidad de Madrid,3016,1767,494,389,324,333,2020-10-28
Comunidad Foral de Navarra,385,1788,50,365,51,57,2020-10-28
Comunidad Valenciana,1148,1007,173,1681,190,86,2020-10-28
España,17073,1379,2368,255,2292,1866,2020-10-28
Extremadura,323,943,42,1826,48,22,2020-10-28
Galicia,479,58,73,102,69,58,2020-10-28
Islas Baleares,197,598,52,1837,21,20,2020-10-28
Islas Canarias,235,438,48,1084,13,17,2020-10-28
La Rioja,150,1744,24,40,23,18,2020-10-28
Melilla,52,2905,9,6429,6,8,2020-10-28
